MIN=0	-10	-1	-1	-2	0	
MAX=12.5	10	1	1	2	50	
SCALE=5	5	0.5	0.5	1	10	
DEC=2	2	3	3	2	2	
DEF="Time" t / s	"Voltage" U_1 / V	"Current" I_1 / A	"Voltage" U_B2 / V	"Magnetic Flux" &F / Vs	"Frequency" f / Hz	
0	0	0.001	0.0025	0	NAN	
0.01	0.005	0.0015	0.004	3.25E-5	NAN	
0.02	0.015	0.0015	0.0105	0.000105	NAN	
0.03	0.02	0.0025	0.0135	0.000225	NAN	
0.04	0.03	0.0035	0.0255	0.00042	NAN	
0.05	0.04	0.005	0.022	0.0006575	NAN	
0.06	0.045	0.0065	0.035	0.0009425	NAN	
0.07	0.055	0.0085	0.0415	0.001325	NAN	
0.08	0.06	0.0105	0.0435	0.00175	NAN	
0.09	0.07	0.0125	0.0465	0.0022	NAN	
0.1	0.08	0.0145	0.054	0.0027025	NAN	
0.11	0.085	0.0175	0.0515	0.00323	NAN	
0.12	0.095	0.0195	0.0635	0.003805	NAN	
0.13	0.1	0.022	0.0645	0.004445	NAN	
0.14	0.11	0.025	0.069	0.0051125	NAN	
0.15	0.12	0.0275	0.067	0.0057925	NAN	
0.16	0.125	0.031	0.0785	0.00652	NAN	
0.17	0.135	0.0345	0.075	0.0072875	NAN	
0.18	0.14	0.0365	0.0805	0.008065	NAN	
0.19	0.15	0.0405	0.085	0.0088925	NAN	
0.2	0.16	0.0425	0.085	0.0097425	NAN	
0.21	0.165	0.046	0.088	0.0106075	NAN	
0.22	0.175	0.049	0.0995	0.011545	NAN	
0.23	0.18	0.0525	0.0905	0.012495	NAN	
0.24	0.19	0.0555	0.1	0.0134475	NAN	
0.25	0.2	0.059	0.098	0.0144375	NAN	
0.26	0.205	0.062	0.104	0.0154475	NAN	
0.27	0.215	0.066	0.1075	0.016505	NAN	
0.28	0.22	0.0695	0.1125	0.017605	NAN	
0.29	0.23	0.0725	0.109	0.0187125	NAN	
0.3	0.24	0.0755	0.1145	0.01983	NAN	
0.31	0.245	0.0795	0.115	0.0209775	NAN	
0.32	0.255	0.0825	0.121	0.0221575	NAN	
0.33	0.26	0.086	0.1225	0.023375	NAN	
0.34	0.27	0.0895	0.128	0.0246275	NAN	
0.35	0.28	0.0925	0.124	0.0258875	NAN	
0.36	0.285	0.096	0.1365	0.02719	NAN	
0.37	0.295	0.0985	0.135	0.0285475	NAN	
0.38	0.3	0.101	0.1395	0.02992	NAN	
0.39	0.31	0.103	0.1485	0.03136	NAN	
0.4	0.32	0.1045	0.152	0.0328625	NAN	
0.41	0.325	0.106	0.155	0.0343975	NAN	
0.42	0.335	0.108	0.169	0.0360175	NAN	
0.43	0.34	0.1095	0.1625	0.037675	NAN	
0.44	0.35	0.1105	0.1755	0.039365	NAN	
0.45	0.36	0.112	0.1755	0.04112	NAN	
0.46	0.365	0.114	0.1825	0.04291	NAN	
0.47	0.375	0.1155	0.192	0.0447825	NAN	
0.48	0.38	0.1175	0.196	0.0467225	NAN	
0.49	0.39	0.1195	0.198	0.0486925	NAN	
0.5	0.4	0.121	0.207	0.0507175	NAN	
0.51	0.405	0.123	0.2065	0.052785	NAN	
0.52	0.415	0.125	0.217	0.0549025	NAN	
0.53	0.42	0.127	0.2175	0.057075	NAN	
0.54	0.43	0.129	0.225	0.0592875	NAN	
0.55	0.44	0.131	0.227	0.0615475	NAN	
0.56	0.445	0.133	0.2355	0.06386	NAN	
0.57	0.455	0.135	0.2365	0.06622	NAN	
0.58	0.46	0.1365	0.245	0.0686275	NAN	
0.59	0.47	0.139	0.245	0.0710775	NAN	
0.6	0.48	0.1405	0.252	0.0735625	NAN	
0.61	0.485	0.1425	0.257	0.0761075	NAN	
0.62	0.495	0.1445	0.264	0.0787125	NAN	
0.63	0.5	0.1465	0.267	0.0813675	NAN	
0.64	0.51	0.1485	0.2735	0.08407	NAN	
